Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
43-0615,43,8,1.8,1.9,1.5
43-0815,43,9,1.9,1.9,1.6
43-1015,43,10,2.3,1.8,1.8
43-1115,43,11,2.30,1.68,1.74
43-0216,43,12,2.30,1.84,1.71
43-0516,43,13,2.4,2,1.8
43-0816,43,14,2.4,1.8,1.5
43-1016,43,15,2.2,1.4,1.2
43-1216,43,16,2.3,1.2,1.6
43-0217,43,17,2.2,1.7,1.6
43-0517,43,18,,,
43-0817,43,19,,,
44-0314,44,1,1.2,2.3,1.6
44-0614,44,3,2.3,2.3,1.7
44-0814,44,4,2.0,2.0,1.2
44-1014,44,5,2.3,2.3,1.4
44-1214,44,6,,,
44-0215,44,7,2.3,2.3,1.6
44-0615,44,8,2.3,2.3,1.6
44-0815,44,9,2.3,2.3,1.8
44-1015,44,10,2.3,2.3,1.7
44-1115,44,11,2.30,1.90,1.67
44-0216,44,12,2.30,1.92,1.45
44-0516,44,13,2.4,2.1,1.5
44-0816,44,14,2.4,2.1,1.2
44-1016,44,15,2.4,1.8,1.2
44-1216,44,16,2.3,1.2,1.2
44-0217,44,17,2.4,2,1.2
44-0517,44,18,,,
44-0817,44,19,,,
45-0314,45,1,1.2,2.3,1.2
45-0614,45,3,2.3,2.3,1.8
45-0814,45,4,1.8,1.9,1.5
45-1014,45,5,2.3,2.3,1.4
45-1214,45,6,2.3,2.3,1.6
45-0215,45,7,2.3,2.3,2.3
45-0615,45,8,2.1,2.3,1.8
45-0815,45,9,2.3,2.3,2.0
45-1015,45,10,2.3,2.3,2.3
45-1115,45,11,2.30,1.88,1.81
45-0216,45,12,2.30,2.30,1.90
45-0516,45,13,2.4,2.4,2
45-0816,45,14,2.4,2.3,1.8
45-1016,45,15,2.4,1.8,1.2
45-1216,45,16,2.3,1.2,1.4
45-0217,45,17,2.2,2.3,1.3
45-0517,45,18,,,
46-0314,46,1,,,
47-0615,47,8,2.3,2.3,2.3
47-0815,47,9,1.9,2.3,2.3
47-1015,47,10,1.6,2.3,2.0
47-1115,47,11,2.30,2.30,2.30
47-0216,47,12,2.30,2.30,2.30
47-0516,47,13,2.3,2.4,2.2
47-0816,47,14,2.4,2.4,1.9
47-1016,47,15,2.1,2.3,1.7
47-1216,47,16,2.3,2.2,2
47-0217,47,17,2.2,2.3,2
47-0517,47,18,,,
47-0817,47,19,,,
48-0615,48,8,2.3,2.1,2.0
48-0815,48,9,2.3,2.3,1.6
48-1015,48,10,2.1,1.8,1.5
48-1115,48,11,2.30,1.73,1.51
49-0314,49,1,1.2,2.3,1.2
49-0614,49,3,1.9,2.3,1.7
49-0814,49,4,2.3,2.3,1.8
49-1014,49,5,2.3,1.7,2.3
49-1214,49,6,1.2,1.5,1.2
49-0215,49,7,2.3,2.3,2.3
49-0615,49,8,2.3,2.3,2.0
49-0815,49,9,2.3,2.3,1.9
49-1015,49,10,1.2,2.3,1.5
49-1115,49,11,2.30,2.30,1.74
49-0216,49,12,2.30,2.30,1.78
49-0516,49,13,2.4,2.4,1.7
49-0816,49,14,2.4,2.4,1.5
49-1016,49,15,2.4,2.1,1.4
49-1216,49,16,,,
49-0217,49,17,2.4,2.4,1.7
49-0517,49,18,,,
49-0817,49,19,,,
50-0615,50,8,2.3,2.3,2.1
51-0314,51,1,1.9,2.3,1.6
51-0614,51,3,1.9,2.3,1.6
51-0814,51,4,1.8,1.9,1.2
51-1014,51,5,2.0,2.3,1.4
51-1214,51,6,2.3,2.3,1.6
51-0615,51,8,1.7,1.8,1.2
51-0815,51,9,1.9,2.3,1.2
51-1015,51,10,2.3,2.3,1.4
51-1115,51,11,2.30,1.95,1.30
51-0216,51,12,2.30,2.30,1.20
51-0516,51,13,2.4,2,1.2
51-0816,51,14,2.4,2.2,1.4
51-1016,51,15,2.3,1.9,1.2
51-1216,51,16,2.4,1.9,1.4
51-0217,51,17,2.2,2.1,1.2
52-0814,52,4,1.2,1.6,1.2
52-1014,52,5,1.4,1.9,1.2
52-1214,52,6,2.1,2.3,1.2
52-0215,52,7,1.9,2.0,1.5
52-0615,52,8,1.4,1.6,1.2
52-0815,52,9,1.6,2.1,1.2
52-1015,52,10,1.2,2.0,1.4
52-1115,52,11,2.30,1.92,1.83
52-0216,52,12,2.07,1.79,1.20
52-0516,52,13,2.2,1.8,1.2
52-0816,52,14,2.2,1.7,1.2
52-1016,52,15,2.1,1.4,1.2
52-1216,52,16,1.9,1.3,1.2
53-0615,53,8,2.2,2.3,2.3
53-0815,53,9,2.3,2.3,2.3
53-1015,53,10,2.1,2.0,2.1
53-1115,53,11,2.30,1.89,2.30
53-0216,53,12,2.30,2.30,2.30
53-0516,53,13,2.3,2.1,2.2
53-0816,53,14,2.4,1.9,1.9
53-1016,53,15,2.4,1.7,1.7
54-0814,54,4,2.1,2.3,1.2
54-1014,54,5,2.1,2.3,1.5
54-1214,54,6,2.3,2.3,2.1
54-0215,54,7,2.3,2.3,2.0
54-0615,54,8,2.3,2.3,1.8
54-0815,54,9,2.0,2.3,2.0
54-1015,54,10,2.3,2.3,1.6
54-1115,54,11,2.30,2.30,1.63
54-0216,54,12,2.30,2.30,1.39
54-0516,54,13,2.2,2.3,1.8
54-0816,54,14,2.3,1.9,1.2
54-1016,54,15,2.3,2,1.2
54-1216,54,16,2.3,2,1.5
54-0517,54,18,,,
55-0814,55,4,2.2,2.3,1.7
55-1014,55,5,2.3,2.3,2.3
55-1214,55,6,2.2,1.2,1.7
55-0215,55,7,2.3,2.3,2.3
55-0615,55,8,2.3,2.3,2.2
55-0815,55,9,2.3,2.3,1.9
55-1015,55,10,2.3,2.3,2.1
55-1115,55,11,2.30,2.30,2.02
55-0216,55,12,2.30,2.30,2.06
55-0516,55,13,2.4,2.2,2.1
55-0816,55,14,2.4,2.3,2.1
55-1016,55,15,2.4,2.2,1.7
55-1216,55,16,2.4,1.8,1.8
55-0217,55,17,2.4,2.1,2
55-0517,55,18,,,
55-0817,55,19,,,
56-0314,56,1,1.2,1.2,1.5
56-0614,56,3,1.2,1.2,1.2
56-0814,56,4,1.6,1.2,1.2
56-1014,56,5,1.7,1.2,1.2
56-1214,56,6,2.3,1.7,1.6
56-0215,56,7,1.9,1.5,1.4
56-0615,56,8,1.7,1.7,1.2
56-0815,56,9,1.5,1.5,1.2
56-1015,56,10,2.3,1.6,1.4
56-1115,56,11,2.30,1.20,1.20
56-0216,56,12,2.09,1.57,1.31
56-0516,56,13,,,
56-0816,56,14,2.4,1.6,1.2
56-1016,56,15,2.1,1.2,1.2
56-1216,56,16,2.3,1.2,1.2
56-0217,56,17,2.3,1.5,1.6
56-0517,56,18,,,
56-0817,56,19,,,
57-0615,57,8,1.7,2.0,2.0
57-0815,57,9,1.5,1.8,1.9
57-1015,57,10,1.2,1.2,1.4
57-1115,57,11,2.07,1.72,1.90
57-0216,57,12,2.13,1.81,1.87
57-0516,57,13,2,1.5,1.9
57-0816,57,14,2.3,2,1.9
57-1016,57,15,2.1,1.6,1.5
57-1216,57,16,2.3,1.5,1.8
57-0217,57,17,2.3,2.2,2.1
57-0517,57,18,,,
57-0817,57,19,,,
58-0314,58,1,1.3,2.3,1.4
58-0614,58,3,2.3,2.3,1.7
58-0814,58,4,2.3,2.1,1.6
58-1014,58,5,2.3,2.3,1.8
58-1214,58,6,2.3,2.3,1.9
58-0215,58,7,2.3,2.3,2.3
58-0615,58,8,2.3,2.3,2.0
58-0815,58,9,1.5,1.9,1.8
58-1015,58,10,2.3,2.1,1.6
58-1115,58,11,2.30,2.30,1.88
58-0216,58,12,2.30,2.30,1.85
58-0516,58,13,2.4,2.2,1.9
58-0816,58,14,2.4,2.3,1.9
58-1016,58,15,2.4,2.2,1.8
58-1216,58,16,2.4,1.8,1.7
58-0217,58,17,2.4,2.1,1.7
58-0517,58,18,,,
58-0817,58,19,,,
59-0615,59,8,1.5,2.3,1.8
60-0314,60,1,1.2,1.2,1.2
60-0614,60,3,2.3,1.2,1.5
60-0814,60,4,2.2,1.2,1.2
60-1014,60,5,2.3,1.9,2.0
60-1214,60,6,1.2,1.2,1.2
60-0215,60,7,2.3,1.2,2.3
60-0615,60,8,2.3,1.2,2.3
60-0815,60,9,1.5,1.6,2.3
60-1015,60,10,2.2,1.2,1.9
60-1115,60,11,2.30,1.20,2.30
60-0216,60,12,2.30,1.81,2.30
60-0516,60,13,2.2,1.2,2.4
60-0816,60,14,2.4,1.2,2.2
60-1016,60,15,2.4,1.2,2.3
60-1216,60,16,2.4,1.2,2.1
60-0217,60,17,2.4,1.5,2.2
60-0517,60,18,,,
60-0817,60,19,,,
61-0615,61,8,2.3,2.3,2.3
61-0816,61,9,2.3,2.3,2.3
61-1015,61,10,1.9,2.1,2.3
61-1115,61,11,2.30,2.30,2.30
62-0615,62,8,1.9,2.3,2.3
62-0815,62,9,2.3,1.9,1.7
62-1015,62,10,1.2,1.7,1.4
62-1115,62,11,2.11,1.20,1.93
62-0216,62,12,2.30,2.30,1.87
63-1115,63,11,,,
63-0216,63,12,,,
63-0516,63,13,2.4,2.2,2.4
63-0816,63,14,2.4,2.2,2.2
63-1016,63,15,2.4,2,2.4
63-1216,63,16,2.4,1.9,2.2
63-0217,63,17,2.4,2.1,2.4
63-0517,63,18,,,
64-1115,64,11,,,
64-0216,64,12,,,
64-0516,64,13,2.4,2.4,2.4
64-0816,64,14,2.4,2.3,2.1
64-1016,64,15,2.4,2.4,2.3
64-1216,64,16,2.4,2.3,2.3
64-0217,64,17,2.4,2.2,2.4
64-0517,64,18,,,
64-0817,64,19,,,
101-0314,101,1,1.5,1.6,1.2
101-0614,101,3,2.3,1.5,1.4
102-0314,102,1,1.7,2.3,1.8
102-0614,102,3,1.2,1.2,1.2
102-0814,102,4,1.2,1.2,1.2
102-1014,102,5,1.2,1.2,1.2
102-1214,102,6,1.2,1.6,1.2
102-0215,102,7,1.9,1.8,1.2
102-0615,102,8,2.3,1.5,1.5
102-0815,102,9,1.4,1.7,1.3
102-1015,102,10,2.3,1.9,1.3
102-1115,102,11,,,
102-0216,102,12,2.30,1.20,1.49
102-0516,102,13,2.4,1.6,1.5
102-0816,102,14,2.4,1.7,1.2
102-1016,102,15,2.3,1.2,1.2
102-1216,102,16,2,1.4,1.4
102-0217,102,17,2.3,1.7,1.2
102-0517,102,18,,,
102-0817,102,19,,,
103-0314,103,1,,,
104-0314,104,1,,,
104-0614,104,3,1.2,1.7,1.2
104-0814,104,4,1.2,1.2,1.2
104-1014,104,5,1.2,1.2,1.2
104-1214,104,6,2.0,1.2,1.2
105-0314,105,1,,,
105-0614,105,3,2.1,1.6,1.7
105-0814,105,4,2.0,1.2,1.2
105-1014,105,5,2.3,1.4,1.5
105-1214,105,6,2.3,1.2,1.5
106-0314,106,1,1.2,2.3,1.2
106-0614,106,3,2.3,1.9,1.7
106-0814,106,4,2.3,1.2,1.2
106-1014,106,5,2.3,1.6,1.8
107-0314,107,1,1.2,1.5,1.2
107-0614,107,3,2.3,1.2,2.3
107-0814,107,4,2.3,1.2,1.4
107-1014,107,5,2.3,1.2,1.8
107-1214,107,6,2.3,1.2,1.6
107-0215,107,7,2.3,1.8,2.3
107-0615,107,8,2.3,1.5,2.0
107-0815,107,9,1.5,1.8,1.9
107-1015,107,10,2.3,1.7,2.3
107-1115,107,11,2.30,1.90,1.90
107-0216,107,12,2.30,1.88,2.09
107-0516,107,13,2.4,1.7,1.7
107-0816,107,14,2.4,1.5,1.6
107-1016,107,15,2.4,1.2,1.7
107-1216,107,16,2.2,1.6,2.1
107-0217,107,17,2.4,1.6,1.8
107-0517,107,18,,,
107-0817,107,19,,,
108-0314,108,1,1.6,2.3,1.2
109-0314,109,1,2.3,2.3,1.9
109-0614,109,3,1.2,1.2,1.2
109-0814,109,4,1.2,1.2,1.2
109-1014,109,5,1.2,1.2,1.2
109-1214,109,6,1.2,1.2,1.2
110-0314,110,1,1.2,2.3,1.2
110-0614,110,3,2.3,1.9,1.7
110-0814,110,4,2.3,1.2,1.2
111-0814,111,4,1.7,1.2,1.2
111-1014,111,5,1.7,1.2,1.2
111-1214,111,6,1.8,1.2,1.2
111-0215,111,7,2.3,1.6,1.6
111-0615,111,8,2.3,1.2,1.4
111-0815,111,9,1.5,1.2,1.2
111-1015,111,10,2.3,1.6,1.5
111-1115,111,11,2.30,1.57,1.41
111-0216,111,12,2.30,1.71,1.20
111-0516,111,13,2.4,1.2,1.2
111-0816,111,14,2.4,1.2,1.2
111-1016,111,15,2.4,1.2,1.2
111-1216,111,16,2.3,1.4,1.6
111-0217,111,17,2.4,1.7,1.4
111-0517,111,18,,,
111-0817,111,19,,,
112-0614,112,3,1.8,1.9,1.7
112-0814,112,4,1.5,1.2,1.2
112-1014,112,5,1.7,1.2,1.2
112-1214,112,6,2.3,1.5,1.8
112-0215,112,7,2.3,1.6,1.6
112-0615,112,8,1.8,1.2,1.5
112-0815,112,9,1.5,1.2,2.3
112-1015,112,10,2.2,1.2,1.2
112-1115,112,11,,,
112-0216,112,12,2.30,1.57,1.44
112-0516,112,13,2.4,1.2,1.4
112-0816,112,14,2.4,1.2,1.4
112-1016,112,15,2.4,1.2,1.2
112-1216,112,16,2.3,1.4,1.5
112-0217,112,17,2.4,1.4,1.4
112-0517,112,18,,,
112-0817,112,19,,,
113-0614,113,3,1.2,1.8,1.7
113-0814,113,4,1.2,1.2,1.2
113-1014,113,5,1.2,1.2,1.2
113-1214,113,6,1.2,1.4,1.2
114-0614,114,3,2.3,1.8,2.3
114-0814,114,4,2.3,1.2,1.5
114-1014,114,5,2.3,1.2,1.8
115-0314,115,1,,,
115-0614,115,3,2.3,2.3,1.2
115-0814,115,4,2.2,1.2,1.5
115-1014,115,5,2.1,1.2,1.2
115-1214,115,6,2.3,1.2,1.4
115-0215,115,7,2.3,1.8,1.9
115-0615,115,8,2.1,1.4,1.8
115-0815,115,9,2.3,1.2,1.7
115-1015,115,10,,,
115-1115,115,11,,,
115-0216,115,12,2.30,1.70,1.58
115-0516,115,13,2.4,1.4,1.2
115-0816,115,14,2.4,1.2,1.2
115-1016,115,15,2.3,1.4,1.2
115-1216,115,16,2.2,1.2,1.6
115-0517,115,18,,,
115-0817,115,19,,,
116-0614,116,3,1.4,1.8,1.7
116-0814,116,4,1.2,1.2,1.2
116-1014,116,5,1.2,1.2,1.2
116-1214,116,6,1.2,1.2,1.2
117-0614,117,3,1.5,1.9,1.7
117-0814,117,4,1.2,1.2,1.2
117-1014,117,5,1.2,1.2,1.2
117-1214,117,6,1.2,1.2,1.2
117-0215,117,7,1.6,1.6,1.2
117-0615,117,8,2.3,1.2,1.2
117-0815,117,9,2.0,1.5,1.5
117-1015,117,10,1.4,1.2,1.2
117-1115,117,11,,,
117-0216,117,12,2.20,1.69,1.43
117-0516,117,13,2.4,1.2,1.2
117-0816,117,14,2.4,1.2,1.2
117-1016,117,15,2.3,1.2,1.2
117-1216,117,16,2.2,1.5,1.2
117-0517,117,18,,,
117-0817,117,19,,,
118-0614,118,3,1.5,2.3,1.2
118-0814,118,4,1.4,1.2,1.2
118-1014,118,5,1.9,1.2,1.2
119-0614,119,3,,,
119-0814,119,4,1.2,1.2,1.2
119-1014,119,5,1.2,1.2,1.2
119-1214,119,6,1.7,1.4,1.2
119-0215,119,7,1.8,1.5,1.2
119-0615,119,8,2.3,1.2,1.4
119-0815,119,9,2.2,1.2,1.8
119-1015,119,10,1.4,1.2,1.2
119-1115,119,11,2.30,1.20,1.39
119-0216,119,12,2.30,1.20,1.20
119-0516,119,13,2.4,1.2,1.2
119-0816,119,14,2.4,1.2,1.2
119-1016,119,15,2.1,1.2,1.2
119-1216,119,16,1.9,1.2,1.6
119-0217,119,17,2.3,1.2,1.7
119-0517,119,18,,,
119-0817,119,19,,,
120-1214,120,6,,,
120-0215,120,7,2.3,2.3,1.6
120-0615,120,8,1.2,1.8,1.4
120-0815,120,9,1.2,1.6,1.2
120-1015,120,10,1.2,1.8,1.2
120-1115,120,11,,,
120-0216,120,12,1.20,1.68,1.20
120-0516,120,13,1.8,1.5,1.2
120-0816,120,14,1.7,1.2,1.2
120-1016,120,15,1.5,1.2,1.2
120-1216,120,16,1.2,1.2,1.2
120-0217,120,17,1.8,1.2,1.2
120-0517,120,18,,,
120-0817,120,19,,,
121-0215,121,7,1.9,2.3,1.7
121-0615,121,8,1.2,2.3,1.2
121-0815,121,9,1.2,1.6,1.2
121-1015,121,10,1.8,1.8,1.2
121-1115,121,11,1.20,1.20,1.20
121-0216,121,12,1.20,1.78,1.20
121-0516,121,13,1.6,1.6,1.6
121-0816,121,14,1.2,1.2,1.2
121-1016,121,15,1.2,1.2,1.2
121-1216,121,16,1.2,1.5,1.2
121-0217,121,17,1.2,1.2,1.2
121-0517,121,18,,,
121-0817,121,19,,,
122-0215,122,7,,,
122-0615,122,8,1.2,2.1,1.2
122-0815,122,9,1.2,1.2,1.2
122-1015,122,10,1.2,1.2,1.2
122-1115,122,11,1.59,1.20,1.20
122-0216,122,12,1.20,1.20,1.20
122-0516,122,13,1.5,1.4,1.2
122-0816,122,14,1.2,1.2,1.2
122-1016,122,15,1.2,1.2,1.2
122-1216,122,16,1.2,1.2,1.2
122-0217,122,17,1.2,1.2,1.2
122-0517,122,18,,,
122-0817,122,19,,,
123-0215,123,7,,,
123-0615,123,8,1.2,1.8,1.5
123-0815,123,9,1.2,1.2,1.2
123-1015,123,10,1.2,1.2,1.2
123-1115,123,11,1.20,1.20,1.20
123-0216,123,12,1.20,1.68,1.20
123-0516,123,13,1.2,1.2,1.2
123-0816,123,14,1.2,1.2,1.2
123-1016,123,15,1.2,1.2,1.2
123-1216,123,16,1.2,1.3,1.2
123-0217,123,17,1.2,1.5,1.2
123-0517,123,18,,,
123-0817,123,19,,,
124-0615,124,8,2.3,2.3,2.1
125-0615,125,8,2.3,2.3,2.3
126-0615,126,8,2.0,1.7,2.3
127-0615,127,8,1.2,1.8,2.1
127-0815,127,9,1.2,1.2,1.6
127-1015,127,10,1.2,1.2,1.2
128-0615,128,8,1.2,2.0,1.5
129-0615,129,8,1.2,1.9,1.8
129-0815,129,9,1.2,1.2,1.2
130-0615,130,8,2.3,2.1,1.9
131-0615,131,8,2.0,2.3,1.9
131-0815,131,9,1.2,1.2,1.4
132-0615,132,8,1.2,2.0,1.5
132-0815,132,9,1.2,1.2,1.2
133-0615,133,8,1.2,1.9,1.3
133-0815,133,9,1.2,1.2,1.2
133-1015,133,10,1.2,1.2,1.2
134-0615,134,8,1.2,1.2,1.2
135-0615,135,8,1.2,1.2,1.5
135-0815,135,9,1.2,1.2,1.2
135-1015,135,10,1.2,1.2,1.2
135-0216,135,12,1.20,1.82,1.20
135-0516,135,13,1.2,1.2,1.2
135-0816,135,14,1.2,1.2,1.2
135-1016,135,15,1.2,1.2,1.2
135-1216,135,16,1.2,1.3,1.4
135-0217,135,17,1.2,1.2,1.2
135-0517,135,18,,,
135-0817,135,19,,,
136-0615,136,8,1.7,1.2,1.7
136-0815,136,9,1.2,1.2,1.3
136-1015,136,10,1.2,1.2,1.2
135-1215,136,11,1.20,1.20,1.20
136-0216,136,12,1.20,1.64,1.20
136-0516,136,13,1.8,1.6,1.2
136-0816,136,14,1.2,1.2,1.2
136-1016,136,15,1.6,1.2,1.2
136-1216,136,16,1.4,1.3,1.2
136-0217,136,17,1.2,1.2,1.2
136-0517,136,18,,,
136-0817,136,19,,,
137-0615,137,8,1.2,1.2,1.2
137-0815,137,9,1.2,1.8,1.2
138-0615,138,8,2.3,1.2,1.6
138-0815,138,9,1.2,2.0,1.2
138-1015,138,10,1.2,1.2,1.2
138-1215,138,11,,,
138-0216,138,12,1.20,1.77,1.20
138-0516,138,13,1.7,1.2,1.2
138-0816,138,14,1.2,1.2,1.2
138-1016,138,15,1.4,1.2,1.2
138-1216,138,16,1.2,1.3,1.2
138-0217,138,17,1.2,1.2,1.2
138-0517,138,18,,,
138-0817,138,19,,,
139-0615,139,8,1.2,1.2,1.2
139-0815,139,9,1.2,1.6,1.2
139-1015,139,10,1.2,1.2,1.2
139-1215,139,11,1.20,1.20,1.20
139-0216,139,12,1.20,1.65,1.20
139-0516,139,13,1.2,1.2,1.2
139-0816,139,14,1.2,1.2,1.2
139-1016,139,15,1.2,1.2,1.2
139-1216,139,16,1.2,1.2,1.7
139-0217,139,17,1.2,1.2,1.2
139-0517,139,18,,,
139-0817,139,19,,,
140-0216,140,12,2.30,2.30,2.30
140-0516,140,13,2.4,2.2,2
140-0816,140,14,2.4,1.8,1.6
140-1016,140,15,,,
140-1216,140,16,1.6,1.7,1.6
140-0217,140,17,1.2,1.2,1.2
140-0517,140,18,,,
140-0817,140,19,,,
141-0516,141,13,2.3,2.4,2.1
142-0516,142,13,1.8,2.4,2
142-0816,142,14,2.4,1.9,1.2
142-1016,142,15,,,
142-1216,142,16,1.8,1.8,1.2
142-0217,142,17,1.3,1.4,1.2
142-0517,142,18,,,
142-0817,142,19,,,
143-0516,143,13,1.6,2.1,2
144-0217,144,17,2,2.3,1.9
144-0517,144,18,,,
144-0817,144,19,,,
